JOSÉ ALBERTO ALFARO JIMÉNEZ,WILLIAM ALVARADO BOGANTES,MARTA ARABELA ARAUZ MORA,EDGARDO VINICIO ARAYA SIBAJA,MICHAEL JAKE ARCE SANCHO,JORGE ARTURO ARGUEDAS MORA,CARLOS MANUEL ARGUEDAS RAMÍREZ,MARVIN ATENCIO DELGADO,RONALD CALVO CANALES,JOSÉ FRANCISCO CAMACHO LEIVA,JAVIER FRANCISCO CAMBRONERO ARGUEDAS,EPSY ALEJANDRA CAMBELL BARR,SURAY CARRILLO GUEVARA,MAUREEN CECILIA CLARKE CLARKE,FRANKLIN CORELLA VARGAS,NATALIA DÍAS QUINTANA,ABELINO ESQUIVEL QUESADA,MAUREEN FALLAS FALLAS,LIGIA ELENA FALLAS RODRÍGUEZ,LAURA MARÍA GARRO SÁNCHEZ,ROLANDO GONZÁLEZ ULLOA,MARCELA GUERRERO CAMPOS,OTTO GUEVARA GUTH,DANNY HAYLING CARCACHE,CARLOS ENRIQUE HERNÁNDEZ ÁLVAREZ,NIDIA MARÍA JIMÉNEZ VÁSQUEZ,JUAN LUIS JIMÉNEZ SUCCAR,OLIVIER IBO JIMÉNEZ ROJAS,JOHNNY LEIVA BADILLA,ÓSCAR LÓPEZ,ALEXANDRA LORIA BEECHE,MARLENE MADRIGAL FLORES,EMILIA MOLINA CRUZ,RONNY MONGE SALAS,STEVEN NÚNEZ RÍMOLA,PATRICIA MORA CASTELLANOS,VÍCTOR HUGO MORALES ZAPATA,RAFAEL ÁNGEL ORTIZ FÁBREGA,SANDRA PISZK FEINZILBER,KARLA VANESSA PRENDAS MATARRITA,CARMEN QUESADA SANTAMARÍA,PAULINA MARÍA RAMÍREZ PORTUGUEZ,JOSÉ ANTONIO RAMÍREZ AGUILAR,GONZALO ALBERTO RÁMIREZ ZAMORA,ROSIBEL RAMOS MADRIGAL,MARCO VINICIO REDONDO QUIRÓS,MARIO REDONDO POVEDA,JORGE RODRÍGUEZ ARAYA,JULIO ANTONIO ROJAS ASTORGA,SILVIA VANESSA SÁNCHEZ VANEGAS,ARACELLI SEGURA RETANA,OTTÓN SOLÍS FALLAS,LORELLY TREJOS SALAS,HUMBERTO VARGAS CORRALES,GERARDO VARGAS VARELA,GERARDO VARGAS ROJAS,LUIS ALBERTO VÁSQUEZ CASTRO,PLENARY
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-140.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-141.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-142.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-143.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-144.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-145.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-146.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-147.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-148.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-149.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-150.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-151.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-152.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-153.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-154.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-155.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-156.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-157.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-158.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-159.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-160.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-7
